index,symbol,name,data_interface,monitor_signal,importance_degree,stock_category,total_mv,cost,remarks
,sh600905,三峡能源,A股股票-新浪,收盘低于下轨或最低上穿下轨,选出待买,,,,
,sh605117,德业股份,A股股票-新浪,收盘低于下轨或最低上穿下轨,选出待买,,,,
,513080,法国CAC40ETF,ETF-东财,跌5%且最低上穿下轨或跌10%或收盘上穿上轨,持仓,,,1.674,
,520580,新兴亚洲ETF,ETF-东财,跌5%且最低上穿下轨或跌10%或收盘上穿上轨,持仓,,,0.999,
,513730,东南亚科技ETF,ETF-东财,跌5%且最低上穿下轨或跌10%或收盘上穿上轨,持仓,,,1.174,
,518850,黄金ETF华夏,ETF-东财,跌5%且最低上穿下轨或跌10%或收盘上穿上轨,持仓,,,7.546,
,159329,沙特ETF,ETF-东财,跌5%且最低上穿下轨或跌10%或收盘上穿上轨,持仓,,,0.997,
,sh600346,恒力石化,A股股票-新浪,跌5%且最低上穿下轨或跌10%或收盘上穿上轨,持仓,,,14.280 ,
1,sh000001,上证指数,A股指数-东财,收盘低于下轨或最低上穿下轨,非常高,,,,大盘对个股的影响是很大的。下轨附近高仓位，上轨附近低仓位。
2,159501,纳斯达克指数ETF,ETF-东财,收盘低于下轨或最低上穿下轨,非常高,同花顺-适合boll策略,,,"""非常高""的标的,监控信号为""收盘低于下轨或最低上穿下轨"".但是注意,收盘低于下轨时,布林带形态好才能买."
3,161130,纳斯达克100LOF,ETF-东财,收盘低于下轨或最低上穿下轨,非常高,同花顺-适合boll策略,,,"""非常高""的标的,监控信号为""收盘低于下轨或最低上穿下轨"".但是注意,收盘低于下轨时,布林带形态好才能买."
4,159509,纳指科技ETF,ETF-东财,收盘低于下轨或最低上穿下轨,非常高,同花顺-适合boll策略,,,"""非常高""的标的,监控信号为""收盘低于下轨或最低上穿下轨"".但是注意,收盘低于下轨时,布林带形态好才能买."
5,513850,美国50ETF,ETF-东财,收盘低于下轨或最低上穿下轨,非常高,同花顺-适合boll策略,,,"""非常高""的标的,监控信号为""收盘低于下轨或最低上穿下轨"".但是注意,收盘低于下轨时,布林带形态好才能买."
6,159561,德国ETF,ETF-东财,收盘低于下轨或最低上穿下轨,非常高,同花顺-适合boll策略,,,"""非常高""的标的,监控信号为""收盘低于下轨或最低上穿下轨"".但是注意,收盘低于下轨时,布林带形态好才能买."
7,164824,印度基金LOF,ETF-东财,收盘低于下轨或最低上穿下轨,非常高,同花顺-适合boll策略,,,"""非常高""的标的,监控信号为""收盘低于下轨或最低上穿下轨"".但是注意,收盘低于下轨时,布林带形态好才能买."
8,513080,法国CAC40ETF,ETF-东财,收盘低于下轨或最低上穿下轨,非常高,同花顺-适合boll策略,,,"""非常高""的标的,监控信号为""收盘低于下轨或最低上穿下轨"".但是注意,收盘低于下轨时,布林带形态好才能买."
9,513520,日经ETF,ETF-东财,收盘低于下轨或最低上穿下轨,非常高,同花顺-适合boll策略,,,"""非常高""的标的,监控信号为""收盘低于下轨或最低上穿下轨"".但是注意,收盘低于下轨时,布林带形态好才能买."
